Tags,Headers,Asked Timestamps,Modified Timestamps,View Counts,Original Posters,Questions,Answers,Linked Questions,Related Questions
c#,GridView HyperLink field in C#,"11 years, 7 months ago","4 years, 11 months ago","
                        Asked
                        11 years, 7 months ago
                    ",Sam,"
                
Take a look at the following code:

<asp:HyperLinkField 
    DataNavigateUrlFields=""NameID"" 
    DataNavigateUrlFormatString=""names.aspx?nameid={0}""
    DataTextField=""name"" 
    HeaderText=""Name"" 
    ItemStyle-Width=""100px""
    ItemStyle-Wrap=""true"" />


It takes only the name id to navigate to the next page. How will I include the two other parameters which are not in the gridview. The navigate URL I'm using has to take the keyword which is already present in the gridview and the other two parameters from the database table. I tried using all these codes. Nothing did work for me. 

<asp:HyperLinkField DataTextField=""Keyword"" DataNavigateUrlFields=""Keyword""
    DataNavigateUrlFormatString=""KeywordSrchSumDtl.aspx?Keyword={0}&State={1}&City={2}""
    HeaderStyle-VerticalAlign=""Bottom"" ItemStyle-HorizontalAlign=""center"" />


I cant use the above the code because the state and city are not in the GridView but available in my data table.

I tried using the following code too, but it doesn't work:

 <asp:TemplateField HeaderText=""Keyword""  ItemStyle-HorizontalAlign=""Center"" FooterStyle-HorizontalAlign=""Center"">
    <ItemTemplate>
        <asp:HyperLink ID=""link"" runat=""server"" NavigateUrl='<% # ""KeywordSrchSumDtl.aspx?Keyword=""Eval(""Keyword"")+""&State=""+Request.QueryString[""State""]%>' Text='<%# Eval(""Keyword"") %>'>
        </asp:HyperLink>
    </ItemTemplate>
</asp:TemplateField>


I also tried this:

        <asp:HyperLink ID=""Link1"" runat=""Server"" NavigateUrl='<%#redirectURL()+Server.UrlEncode((Eval(""Keyword"")).ToString())%>' Text='<%# DataBinder.Eval(Container.DataItem,""Keyword"") %>'>
        </asp:HyperLink>
    </ItemTemplate>
</asp:TemplateField>


.aspx.cs

return ""KeywordSrchSumDtl.aspx?Keyword="" + 
    //I DONNO HOW TO CALL THE KEYWORD HERE//
    + ""&State="" + System.Web.HttpContext.Current.Request.QueryString[""State""]
    + ""&City="" + System.Web.HttpContext.Current.Request.QueryString[""City""];


I don't know how to solve this.
    ","
Use the DataNavigateUrlFields property, comma-delimited value with the fields for parameters in ""KeywordSrchSumDtl.aspx?Keyword={0}&State={1}&City={2}""

<asp:HyperLinkField DataNavigateUrlFields=""Keyword,State,City""
                    DataNavigateUrlFormatString=""KeywordSrchSumDtl.aspx?Keyword={0}&State={1}&City={2}"" 
                    Text=""View Details"" />


A couple of examples:

Passing two arguments in DataNavigateUrlFormatString in hyperlink field of .NET 2.0 Grid-View

Pass Multiple Values from a GridView to Another Page  using ASP.NET

EDIT:

Set NavigateUrl of HyperLink in RowDataBound event of GridView

<asp:GridView ID=""GridView1"" runat=""server"" 
              AutoGenerateColumns=""False"" 
              DataKeyNames=""Keyword""
              DataSourceID=""SqlDataSource1"" 
              onrowdatabound=""GridView1_RowDataBound"">
   <asp:TemplateField HeaderText=""Keyword""  ItemStyle-HorizontalAlign=""Center""          FooterStyle-HorizontalAlign=""Center"">
      <ItemTemplate>
          <asp:HyperLink ID=""link"" runat=""server"" Text='<%# Eval(""Keyword"") %>' />
      </ItemTemplate>
    </asp:TemplateField>
    .......
</asp:GridView>


Code behind:

protected void GridView1_RowDataBound(object sender, GridViewRowEventArgs e) 
{ 
 if (e.Row.RowType == DataControlRowType.DataRow) 
 { 
    HyperLink hl = (HyperLink)e.Row.FindControl(""link""); 
    if (hl != null) 
    { 
        DataRowView drv = (DataRowView)e.Row.DataItem; 
        string keyword = drv[""Keyword""].ToString(); 
        string state = Request.QueryString[""State""]; 
        string city = Request.QueryString[""City""]; 
        hl.NavigateUrl = ""~/KeywordSrchSumDtl.aspx?Keyword="" + keyword + ""&State="" + Server.UrlEncode(state) + ""&City="" + Server.UrlEncode(city); 
    } 
 } 
}

    ",how to make hyperlink in gridview without datafield?,To add hyperlink in grid
gridview,UIWebView webCore crashes in iOS7.1 (example: www.latimes.com),"10 years, 5 months ago","10 years, 4 months ago","
                        Modified
                        4 years, 11 months ago
                    ",Nikhil J Joshi,"
                
I have being seeing crashes in my iOS app, when opening LA Times (www.latimes.com). The crash happens in WebCore somewhere and I have no clue where. Profiling with both ""Zombie"" or ""leaks"" do not return anything for this ""EXE_BAD_ADDRESS"" error.

I also checked with a small, bare UIWebView app and I could reproduce the effects. 

Right now, I see this happening only with LA times, but I am not sure if there are other sites as well. 

Can someone check on and guide me in what could be the possible error/source for this crash?

EDIT: I have added a small UIWebView project demonstrating this bug at
github

EDIT 2: The app (include the demo at github) works perfectly fine on iOS 7.0, but crashes in iOS 7.1 ... seems a recent bug with iOS 7.1. I have issued a bug report to Apple and will keep updated.
Thanks in advance,
Nikhil
    ","
You can try with string.Format method

NavigateUrl='<%# String.Format(""KeywordSrchSumDtl.aspx?Keyword={0}&State={1}&City={2}"", DataBinder.Eval(Container.DataItem, ""Keyword""), Request.QueryString[""State""], Request.QueryString[""City""]) %>'

    ",Gridview Hyperlink Not Working,hyperlink in gridview
hyperlink,DispatcherTimer vs a regular Timer in WPF app for a task scheduler,"14 years, 3 months ago","8 years, 11 months ago","
                        Viewed
                        60k times
                    ",rem,"
                
Please, explain the difference between ""DispatcherTimer"" and ""a regular Timer"" that @Kent Boogaart meant for using in a multithreading WPF app as a task sheduler in this topic:

Advice needed for multi-threading strategy for WPF application

in the commentaries to one of the post (quote):

-If all the DispatcherTimer does is kick off another thread, what is the point of using the DispatcherTimer?
....those threads don't need to be started on the UI thread. You could just use a regular Timer and avoid interrupting the UI altogether

What is ""a regular timer"" that is meant? How they (""DispatcherTimer"" and ""a regular Timer"") differ regarding their impact on UI? 

(Until reading this post I thought about DispatcherTimer as a natural way of using timers in WPF. What is the cases when this is not true?)
    ","
Finally it Navigates by the following code,

protected void GridView1_RowDataBound(object sender, GridViewRowEventArgs e) 
{ 
 if (e.Row.RowType == DataControlRowType.DataRow) 
 { 
      HyperLink hl = (HyperLink)e.Row.FindControl(""Link"");
      if (hl != null)
      {
           DataRowView drv = (DataRowView)e.Row.DataItem;
           string keyword = drv[""Keyword""].ToString().Trim();
           string state = strState.ToString().Trim();
           string city = strCity.ToString().Trim();                 
           hl.NavigateUrl = ""KeywordSrchSumDtl.aspx?Keyword="" + keyword + ""&Geo="" + geo                             + ""&Site="" + site;
       }
       }
      }


Thank u guys for the help.
    ",Creating a mailto link in codebehind for a dynamically generated gridview,HyperLink field in Gridview (Url Navigation)
ios,Accessing anything GLEW related immediately crashes program in MinGW,"9 years, 6 months ago","9 years, 6 months ago","
                        Asked
                        10 years, 5 months ago
                    ",amortaza,"
                
Here is the code:

#define GLEW_STATIC
#include ""GL/glew.h""

int main () {
    glewExperimental = GL_TRUE;
    return 0;
}


Here is the output:

Process finished with exit code -1073741515 (0xC0000135)


When the 'glewExperimental' line is commented out, program exits with 0.

Here is the CMake file (I am using CLion):

cmake_minimum_required(VERSION 2.8.4)
project(untitled)

add_definitions(-DGL_GLEXT_PROTOTYPES)
add_definitions(-DWINVER=0x0602)
add_definitions(-D_WIN32_WINNT=0x0602)

set(CMAKE_CXX_FLAGS ""${CMAKE_CXX_FLAGS} -std=c++11"")

set(SOURCE_FILES main.cpp)
add_executable(untitled ${SOURCE_FILES})

target_link_libraries(untitled  glfw3  glew32 opengl32 gdi32)


I am using MinGW toolchain on Windows 8.1.

I compiled the GLEW library with the following bat file:

gcc -DGLEW_NO_GLU -O2 -Wall -W -Iinclude -DGLEW_BUILD -o src/glew.o -c src/glew.c

gcc -shared -Wl,-soname,libglew32.dll -Wl,--out-implib,lib/libglew32.dll.a -o lib/glew32.dll src/glew.o -L/mingw/lib -lglu32 -lopengl32 -lgdi32 -luser32 -lkernel32

ar cr lib/libglew32.a src/glew.o


I placed the resulting libglew32.a, libglew32.dll.a in MinGW/lib folder.

I placed teh glew32.dll in Windows/System32 folder.

I placed the GL/glew.h, glxew.h, wglew.h in the MinGW/include folder.

What am I missing? 

I cannot figure out why simply assigning a value to that variable throws an exception...
    ","
Some time we need to pass multiple parameters with hyperlink in Gridview, datagrid or any data list control then we can use following code:-</br> 

**CODE:-** 
<asp:GridView ID=""gvFin"" runat=""server"" CellPadding=""1"" AutoGenerateColumns=""false""> 

<Columns>
     <asp:TemplateField ItemStyle-Width=""4%"" HeaderStyle-Width=""4%"" SortExpression=""CDL""
    HeaderText=""CDL#"" HeaderStyle-Font-Bold=""true"">
                                                <ItemTemplate>
   <asp:HyperLink ID=""lnk1"" runat=""server"" 
   Text='<%# DataBinder.Eval(Container.DataItem,""TestValue"") %>'
   NavigateUrl='<%# ""javascript:ShowACP(\"""" + DataBinder.Eval(Container.DataItem, ""ID"")     + ""\"",\"""" + DataBinder.Eval(Container.DataItem,""ACCOUNTPLAN"") + ""\"");"" %>'                                                  ForeColor=""Blue"" /  </ItemTemplate>
 </asp:TemplateField>


**JavaScript Function**

function ShowACP(id, acplabel) 
{            if (acplabel == ""No"")
{
                window.location = ""#"";
            }
            else</br> 
                window.location = ""Default.aspx?gid="" + id;
        }

    ",Where can I learn more about WebCoreSharedBufferData?,Hyperlink columns in gridview
objective-c,JavaScript calculation returns NaN,"7 years, 4 months ago","7 years, 4 months ago","
                        Modified
                        10 years, 4 months ago
                    ",Saurav,"
                
I want to find total sum of passing the field values in array. If the field is for discount then perform minus else plus. For some reason I'm getting nan.

Here is my script code

<script>

    var partial_cost = $('#bill_amount:disabled').val();
    var fine = +$('#fine').val();
    var discount = +$('#discount').val();
    var other_cost = +$('#other_cost').val();
    var total_cost = +$('#total').val();

    var chargeAble = [
    partial_cost,
    fine,
    discount,
    other_cost
    ];

    $.each(chargeAble, function (chargeIndex, charge) {
        charge.blur(function () {
            var amount = 0;
            for(charge in chargeAble)
                if(chargeAble[charge].attr('id') == 'discount')
                    amount -= (chargeAble[charge].val());
                else
                    amount += (chargeAble[charge].val());

                total_cost.val(amount);
            });
    });

</script>



    ","
You may initialize DataNavigateUrlFields from Code Behind with string[]:

yourHyperLinkField.DataNavigateUrlFields = new string[] { ""Keyword"", ""State"", ""City"" };

    ","[WebCoreSharedBufferData getBytes:range:]: range {0, 8} exceeds data length 0'",add hyperlink to a gridview
ipad,DataGrid - key to run event handler on current item,"5 years, 1 month ago","5 years, 1 month ago","
                        Viewed
                        2k times
                    ",dharmatech,"
                
The source to a small WPF program is shown below. It lists the directories under c:\windows in a DataGrid. The name is a link that can be clicked to open the directory in Explorer. 

(This is just a proof of concept program to illustrate the question.)

Here's what it looks like:



Instead of only being able to click on the link to run the open action, I'd also like to set it up so that the user can press the o key when a row is highlighted in order to run the open action.

What's a good way to set this up? Note that the program is primarily specified in C# as opposed to XAML so if possible, please post your solution in C#. However, if necessary, XAML answers are welcome too!

MainWindow.xaml:

<Window x:Class=""WpfFilesDataGrid.MainWindow""
        xmlns=""http://schemas.microsoft.com/winfx/2006/xaml/presentation""
        xmlns:x=""http://schemas.microsoft.com/winfx/2006/xaml""
        xmlns:d=""http://schemas.microsoft.com/expression/blend/2008""
        xmlns:mc=""http://schemas.openxmlformats.org/markup-compatibility/2006""
        xmlns:local=""clr-namespace:WpfFilesDataGrid""
        mc:Ignorable=""d""
        Title=""MainWindow"" Height=""450"" Width=""800"">
    <Grid>

    </Grid>
</Window>


MainWindow.xaml.cs:

using System.IO;
using System.Windows;
using System.Windows.Controls;
using System.Windows.Data;
using System.Windows.Documents;

namespace WpfFilesDataGrid
{
    /// <summary>
    /// Interaction logic for MainWindow.xaml
    /// </summary>
    public partial class MainWindow : Window
    {
        public MainWindow()
        {
            InitializeComponent();

            var data_grid = new DataGrid()
            {
                IsReadOnly = true,
                AutoGenerateColumns = false,
                ItemsSource = new DirectoryInfo(@""c:\windows"").GetDirectories()
            };

            {
                var setter = new EventSetter()
                {
                    Event = Hyperlink.ClickEvent,
                    Handler = (RoutedEventHandler)((sender, e) => 
                    {
                        System.Diagnostics.Process.Start((data_grid.SelectedItem as DirectoryInfo).FullName);
                    })
                };

                var style = new Style();

                style.Setters.Add(setter);

                var col = new DataGridHyperlinkColumn()
                {
                    Header = ""FullName"",
                    Binding = new Binding(""FullName""),
                    ElementStyle = style
                };

                data_grid.Columns.Add(col);
            }

            data_grid.Columns.Add(new DataGridTextColumn()
            {
                Header = ""CreationTime"",
                Binding = new Binding(""CreationTime"")
            });

            var dock_panel = new DockPanel();

            dock_panel.Children.Add(data_grid);

            Content = dock_panel;
        }
    }
}

    ","
I happened to bump into that same issue with one of my apps in iOS>7.0 only.

It seems to be a sync issue which can be fixed by creating the webview from the main thread only. 

As a fix I just wrapped my UIWebView creation in a dispatch_sync(dispatch_get_main_queue(), ^{ ... }); 

And it solved the problem.
Of course if your code is running on the main thread you shouldn't wrap it this way ;)
    ",iOS app crashes randomly in WebCore,Hyperlink a column in gridview
uiwebview,Mysql:Trim all fields in database,"12 years, 11 months ago","3 years, 2 months ago","
                        Asked
                        14 years, 3 months ago
                    ",Momen Zalabany,"
                
UPDATE mytable SET mycolumn= LTRIM(RTRIM(mycolumn));


works fine on trimming columns removing trailer spaces, but how can i adjust it to trim all columns without having to write each column name in table ?? cause i kind have a huge database.
    ","
DispatcherTimer is the regular timer.  It fires its Tick event on the UI thread, you can do anything you want with the UI.  System.Timers.Timer is an asynchronous timer, its Elapsed event runs on a thread pool thread.  You have to be very careful in your event handler, you are not allowed to touch any UI component or data-bound variables.  And you'll need to use the lock statement where ever you access class members that are also used on the UI thread.

In the linked answer, the Timer class was more appropriate because the OP was trying to run code asynchronously on purpose.
    ",WPF view not updating although INotifyPropertyChanged is implemented (.NET 5.0),HyperLink Column in GridView
ios7,Code::Blocks MinGW Windows Defender Trojan:Win32/Fuery.C!cl,"3 years, 11 months ago","3 years, 11 months ago","
                        Modified
                        8 years, 11 months ago
                    ",Nelio Alves,"
                
I'm testing a simple ""hello world"" program in Code::Blocks 20.03 and MinGW (GCC Build-20200227-1 9.2.0, installed separately), but I got no message on console when running it:



At first I thought it was a compiler issue due to that ""no target"" in ""no project"" message, but then I realized the problem was Windows Defender blocking the .exe file, saying the program contains: Trojan:Win32/Fuery.C!cl

In this topic this issue was related before, but it seems it is happening again. 

I've manually allowed the .exe file on my Windows Defender, and sent it to virustotal, which indeed pointed the threat from 29 engines:

https://www.virustotal.com/gui/file/2d21be5d87055eea18016112c1779e11a583ce5e3df47595aedf3fad4a8e12f6/detection

Is it a known issue? What is the recomended action to solve this?
    ","
Regular Timer's Tick event is actually fired on the thread where the Timer was created, so in the tick event, in order to access anything with the UI, you will have to go through dispatcher.begininvoke as mentioned below.

RegularTimer_Tick(object sender, EventArgs e)
{
    txtBox1.Text = ""count"" + i.ToString(); 
    // error can not access
    // txtBox1.Text property outside dispatcher thread...

    // instead you have to write...
    Dispatcher.BeginInvoke( (Action)delegate(){
       txtBox1.Text = ""count "" + i.ToString();
    });
}


In case of Dispatcher Timer, you can access UI elements without doing begin invoke or invoke as follow...

DispatcherTimer_Tick(object sender, EventArgs e)
{
    txtBox1.Text = ""Count "" + i.ToString();
    // no error here..
}


DispatcherTimer just provides convenience over Regular Timer to access UI objects easily.
    ",Refresh UI with a Timer in WPF (with BackgroundWorker?),Gridview hyperlink
